CA,English,28,261.96
AR,English,21,731.94
PL,English,20,14.62
IN,Spanish,66,957.5775
KR,Spanish,53,22.368
CA,English,28,48.86
CN,English,49,0
AT,English,32,907.152
US,Spanish,69,18.504
CA,Spanish,60,114.9
SE,English,36,1706.184
CH,Chinese,29,911.424
IN,Spanish,67,15.552
IN,Spanish,25,407.976
US,Spanish,67,68.81
NO,English,24,2.544
IN,Spanish,65,665.88
JP,Spanish,42,55.5
PL,English,46,8.56
GB,Spanish,24,213.48
CA,Spanish,23,22.72
SE,Spanish,27,19.46
JP,English,52,0
CH,English,44,71.372
US,Spanish,42,1044.63
CA,Spanish,51,11.648
AT,Spanish,25,90.57
CA,Spanish,50,0
NO,Spanish,65,9.618
CA,Spanish,29,124.2
MX,Spanish,66,3.264
CA,Spanish,23,86.304
IT,Spanish,32,0
US,Spanish,51,15.76
US,English,66,29.472
US,English,68,1097.544
IT,Spanish,43,190.92
RU,Spanish,59,113.328
RU,Spanish,54,532.3992
JP,Spanish,24,212.058
IT,Spanish,49,371.168
US,Spanish,67,147.168
IT,Spanish,48,77.88
CA,Spanish,40,95.616
JP,Spanish,41,45.98
IT,Spanish,46,17.46
IT,Spanish,19,211.96
US,Spanish,43,45
CA,Spanish,18,21.8
CN,Spanish,22,38.22
CN,Spanish,61,75.18
US,Spanish,41,0
IT,Spanish,53,89.99
CA,Spanish,43,15.26
CN,Spanish,45,1029.95
US,Spanish,29,208.56
CA,Spanish,43,32.4
AR,Spanish,19,319.41
GB,Spanish,67,14.56
DE,Spanish,36,30
US,Spanish,64,48.48
JP,Spanish,33,0
AU,Spanish,33,13.98
IT,Spanish,66,25.824
RU,Spanish,29,0
CH,Spanish,22,79.76
AR,Spanish,63,213.115
FI,Spanish,24,1113.024
IN,Spanish,24,167.968
CA,Spanish,44,75.88
AU,Spanish,34,4.616
CA,Spanish,47,19.05
IT,Spanish,38,831.936
IT,Spanish,57,97.04
IT,Spanish,67,72.784
AU,Spanish,41,0
IT,Spanish,40,9.708
IT,Spanish,69,27.24
IT,Spanish,47,19.3
US,Spanish,53,208.16
RU,Spanish,40,16.74
CN,Spanish,60,14.9
CA,Spanish,30,21.39
CN,Spanish,66,200.984
CH,Spanish,22,230.376
CN,Spanish,53,0
CA,Spanish,52,19.99
AT,Spanish,26,0
GB,Spanish,66,158.368
CA,Spanish,65,20.1
JP,Spanish,43,73.584
PL,Spanish,59,0
CH,Spanish,30,12.96
US,Spanish,25,53.34
RU,Spanish,29,32.96
US,Spanish,19,5.682
US,Spanish,62,96.53
JP,Spanish,39,51.312
AU,Spanish,33,77.88
CA,Spanish,26,64.624
NO,Spanish,43,95.976
CH,Spanish,40,0
RU,Spanish,55,23.92
SE,Spanish,24,238.896
IT,Spanish,24,102.36
US,Spanish,30,36.882
CA,Spanish,34,74.112
DE,Spanish,64,27.992
CA,Spanish,57,3.304
JP,Spanish,18,339.96
JP,Spanish,26,41.96
GB,Spanish,19,75.96
IT,Spanish,22,27.24
AT,Spanish,48,40.096
IT,Spanish,56,4.72
CH,Spanish,35,23.976
IT,Spanish,60,130.464
MX,Spanish,32,787.53
IT,Spanish,27,157.794
IT,Spanish,56,47.04
KR,Spanish,35,30.84
IT,Spanish,68,226.56
PR,Spanish,64,115.02
AU,Spanish,60,68.04
US,Spanish,64,600.558
IT,Spanish,41,617.7
US,Spanish,30,2.388
RU,Spanish,40,243.992
IT,Spanish,29,81.424
SE,Spanish,25,238.56
AR,Spanish,60,59.97
GB,Spanish,42,78.304
IT,Spanish,54,21.456
IT,Spanish,50,20.04
CH,Spanish,54,35.44
US,Spanish,45,11.52
CN,Spanish,40,4.02
GB,Spanish,24,76.176
GB,Spanish,40,65.88
GB,Spanish,32,43.12
DE,Spanish,28,82.8
US,Spanish,22,8.82
NO,Spanish,21,10.86
DK,Spanish,31,143.7
JP,Spanish,61,839.43
IT,Spanish,67,671.93
SE,Spanish,52,93.888
DE,Spanish,44,384.45
AU,Spanish,48,149.97
CA,Spanish,53,1951.84
CO,Spanish,27,171.55
US,Spanish,28,157.92
RU,Spanish,43,203.184
IT,Spanish,54,58.38
DE,Spanish,41,105.52
US,Spanish,59,80.88
CA,Spanish,32,6.63
IT,Spanish,41,457.568
AU,Spanish,30,14.62
US,Spanish,22,944.93
RU,Spanish,51,5.98
IT,Spanish,23,54.384
US,Spanish,40,28.4
IT,Spanish,37,27.68
IT,Spanish,24,9.936
AT,Spanish,22,0
SE,Spanish,61,275.928
CN,Spanish,25,1740.06
CH,Spanish,66,32.064
US,Spanish,59,177.98
AU,Spanish,38,143.976
IT,Spanish,34,20.94
CH,Spanish,26,110.96
US,Spanish,59,340.144
RU,Spanish,53,52.448
US,Spanish,23,20.16
AE,Spanish,23,97.264
IT,Spanish,66,396.802
IT,Spanish,56,15.88
US,Spanish,38,3.28
CH,Spanish,28,24.816
CH,Spanish,44,408.744
IT,Spanish,26,503.96
AT,Spanish,41,149.95
IE,Spanish,50,29
US,Spanish,23,0
